timestamp,frame_id,face_detected,ear_left,ear_right,ear_avg,mar,eye_closed,mouth_open,perclos,yawn_count_window,long_eye_closure_count,head_tilt_score,looking_down,looking_side,fatigue_score,distraction_score,final_state,alert_message,fps
1777746164.260811,1,False,0.0,0.0,0.0,0.0,False,False,0.0,0,0,0.0,False,False,0.0,15.0,Normal,,2.2319191669018545
1777746164.4267125,2,False,0.0,0.0,0.0,0.0,False,False,0.0,0,0,0.0,False,False,0.0,16.935516595840454,Normal,,2.6160769099505345
1777746164.4775014,3,False,0.0,0.0,0.0,0.0,False,False,0.0,0,0,0.0,False,False,0.0,17.528053522109985,Normal,,4.316480752907407
1777746164.5277004,4,True,0.21358771088854453,0.3874744104374401,0.3005310606629923,0.09699785614996737,False,False,0.0,0,0,36.415047109127045,False,True,1.8207523554563523,50.0,Atencao,Atencao: sinais iniciais de risco,5.883525532308945
1777746164.773399,5,True,0.25263372354674885,0.3609461985790838,0.30678996106291634,0.013699545181549493,False,False,0.0,0,0,36.337429881095886,False,True,1.8168714940547943,50.0,Atencao,Atencao: sinais iniciais de risco,5.700809048829166
1777746164.8177662,6,True,0.2611772864202189,0.3737879537333496,0.3174826200767843,0.10600546936781717,False,False,0.0,0,0,37.61422424316406,False,True,1.8807112121582028,50.0,Atencao,Atencao: sinais iniciais de risco,7.385509408457004
1777746164.865223,7,True,0.25918195530221966,0.3813962660537999,0.3202891106780098,0.08805325903938371,False,False,0.0,0,0,36.96684970855713,False,True,1.8483424854278563,50.0,Atencao,Atencao: sinais iniciais de risco,8.784774944243491
1777746164.91072,8,True,0.2632727720331769,0.3732998624196358,0.3182863172264063,0.06684560237302611,False,False,0.0,0,0,38.29104106426239,False,True,1.9145520532131193,50.0,Atencao,Atencao: sinais iniciais de risco,10.079360164709549
1777746164.9558487,9,True,0.26641905640923924,0.37367172749461425,0.3200453919519267,0.05525459904214759,False,False,0.0,0,0,37.60641536712646,False,True,1.880320768356323,50.0,Atencao,Atencao: sinais iniciais de risco,11.304404371923514
1777746164.9942484,10,True,0.25821361727030956,0.37149967136243806,0.31485664431637383,0.05399163634163813,False,False,0.0,0,0,37.40505764484405,False,True,1.8702528822422024,50.0,Atencao,Atencao: sinais iniciais de risco,12.80683853531526
1777746165.0358403,11,True,0.27408979568068903,0.3611043067221094,0.31759705120139925,0.05191603828242871,False,False,0.0,0,0,36.29439340829849,False,True,1.8147196704149247,50.0,Atencao,Atencao: sinais iniciais de risco,13.932511312558043
1777746165.0774114,12,True,0.25749792031424695,0.41026237337773674,0.3338801468459919,0.0417133220573219,False,False,0.0,0,0,35.962022542953484,False,True,1.7981011271476743,50.0,Atencao,Atencao: sinais iniciais de risco,14.924716531366109
1777746165.1174912,13,True,0.2677440655514075,0.4208852701591809,0.3443146678552942,0.07452490692470151,False,False,0.0,0,0,35.091940552741285,False,True,1.7545970276370642,50.0,Atencao,Atencao: sinais iniciais de risco,15.87612723044753
1777746165.1644888,14,True,0.26724706871878656,0.3857888522851202,0.32651796050195336,0.13206422964195766,False,False,0.0,0,0,36.046965742111205,False,True,1.80234828710556,50.0,Atencao,Atencao: sinais iniciais de risco,16.47590855425123
1777746165.208901,15,True,0.28025401201568223,0.3728591737732738,0.326556592894478,0.08516822149690628,False,False,0.0,0,0,37.098432016372676,False,True,1.854921600818634,50.0,Atencao,Atencao: sinais iniciais de risco,17.010932734814997
1777746165.2560663,16,True,0.27703085984266357,0.4013452630633538,0.33918806145300867,0.014871847825243522,False,False,0.0,0,0,36.87291402816773,False,True,1.8436457014083862,50.0,Atencao,Atencao: sinais iniciais de risco,17.477363021563527
1777746165.309824,17,True,0.2700866146689868,0.4447485113108798,0.3574175629899333,0.012816770331774842,False,False,0.0,0,0,36.77324582338333,False,True,1.8386622911691664,50.0,Atencao,Atencao: sinais iniciais de risco,17.59997772778357
1777746165.360772,18,True,0.27948419348180403,0.43510302623000047,0.35729360985590225,0.061005636995710474,False,False,0.0,0,0,36.91942031383515,False,True,1.8459710156917575,50.0,Atencao,Atencao: sinais iniciais de risco,17.80179518539327
1777746165.4097972,19,True,0.3111789712071894,0.4264183062431065,0.36879863872514795,0.12832819308193297,False,False,0.0,0,0,35.892516422271726,False,True,1.7946258211135864,50.0,Atencao,Atencao: sinais iniciais de risco,18.00927231808174
